ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,HV005,CODCCPP,NOMCCPP,LATITUDY,LONGITUDX,NCONGLOME1
2024,      325502001,PE6,3255,20,1,0,3255,2024,1493,0,0,0,0,0,0,3,4,0,3255,1,1,1,1,0, ,0, ,0, ,0,2293,0,1,0,1,010101,2,0,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325503101,PE6,3255,31,1,2,3255,2024,1493,4,2,0,4,4,1,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,1,2293,2,1,0,1,010101,2,74497,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325503901,PE6,3255,39,1,1,3255,2024,1493,2,1,0,2,2,0,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,0,2293,1,1,0,1,010101,2,607697,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325504001,PE6,3255,40,1,1,3255,2024,1493,1,0,0,1,1,0,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,0,2293,0,1,0,1,010101,2,607697,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325504701,PE6,3255,47,1,2,3255,2024,1493,4,1,0,4,4,1,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,1,2293,1,1,0,1,010101,2,74497,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325505001,PE6,3255,50,1,1,3255,2024,1493,3,1,0,3,3,1,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,1,2293,1,1,0,1,010101,2,74497,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325505301,PE6,3255,53,1,1,3255,2024,1493,2,1,0,2,2,0,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,0,2293,1,1,0,1,010101,2,607697,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325508901,PE6,3255,89,1,1,3255,2024,1493,4,1,0,4,4,1,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,1,2293,1,1,0,1,010101,2,74497,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325509301,PE6,3255,93,1,2,3255,2024,1493,2,2,0,2,2,0,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,0,2293,2,1,0,1,010101,2,607697,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325509701,PE6,3255,97,1,1,3255,2024,1493,4,1,0,4,4,1,1,1,0,3255,1,1,1,1,0, ,0, ,0, ,1,2293,1,1,0,1,010101,2,74497,0001,CHACHAPOYAS,-6.2258317,-77.8613021,07076
2024,      325600601,PE6,3256,6,1,1,3256,2024,1494,3,1,0,3,3,0,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,0,2346,1,1,0,1,010101,1,369880,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325600801,PE6,3256,8,1,1,3256,2024,1494,4,1,0,4,4,2,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,2,2346,1,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325601301,PE6,3256,13,1,2,3256,2024,1494,6,2,0,6,5,1,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,1,2346,2,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325601701,PE6,3256,17,1,2,3256,2024,1494,5,1,0,5,5,1,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,1,2346,1,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325602801,PE6,3256,28,1,1,3256,2024,1494,5,1,0,5,5,1,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,1,2346,1,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325603201,PE6,3256,32,1,2,3256,2024,1494,7,1,0,7,7,1,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,1,2346,1,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325605001,PE6,3256,50,1,1,3256,2024,1494,3,1,0,3,3,1,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,1,2346,1,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325605601,PE6,3256,56,1,1,3256,2024,1494,1,1,0,1,1,0,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,0,2346,1,1,0,1,010101,1,369880,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325605801,PE6,3256,58,1,1,3256,2024,1494,2,0,0,2,2,0,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,0,2346,0,1,0,1,010101,1,369880,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325606101,PE6,3256,61,1,4,3256,2024,1494,5,1,0,5,5,1,1,1,0,3256,1,1,1,1,0, ,0, ,0, ,1,2346,1,1,0,1,010101,1,45343,0001,CHACHAPOYAS,-6.2287533,-77.8674272,07082
2024,      325701001,PE6,3257,10,1,1,3257,2024,1490,3,1,0,3,2,1,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,1,2383,1,1,0,1,010101,2,90270,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325702001,PE6,3257,20,1,1,3257,2024,1490,1,1,0,1,1,0,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,1,1,0,1,010101,2,736364,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325703401,PE6,3257,34,1,1,3257,2024,1490,2,0,0,2,1,0,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,0,1,0,1,010101,2,736364,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325707001,PE6,3257,70,1,1,3257,2024,1490,4,0,0,4,4,0,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,0,1,0,1,010101,2,736364,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325707301,PE6,3257,73,1,0,3257,2024,1490,0,0,0,0,0,0,5,5,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,0,1,0,1,010101,2,0,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325707401,PE6,3257,74,1,1,3257,2024,1490,2,1,0,2,2,1,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,1,2383,1,1,0,1,010101,2,90270,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325710301,PE6,3257,103,1,2,3257,2024,1490,6,2,0,6,6,0,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,2,1,0,1,010101,2,736364,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325710601,PE6,3257,106,1,1,3257,2024,1490,3,0,0,3,3,0,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,0,1,0,1,010101,2,736364,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325710602,PE6,3257,106,2,1,3257,2024,1490,3,0,0,3,0,1,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,1,2383,1,1,0,1,010101,2,90270,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325712001,PE6,3257,120,1,0,3257,2024,1490,0,0,0,0,0,0,3,5,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,0,1,0,1,010101,2,0,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325712401,PE6,3257,124,1,1,3257,2024,1490,6,2,0,6,5,0,1,1,0,3257,1,1,1,1,0, ,0, ,0, ,0,2383,2,1,0,1,010101,2,736364,0001,CHACHAPOYAS,-6.2336073,-77.8648457,0709301
2024,      325800101,PE6,3258,1,1,2,3258,2024,1493,5,1,0,5,5,1,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,1,368,1,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325800601,PE6,3258,6,1,1,3258,2024,1493,5,2,0,5,5,1,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,1,368,2,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325803301,PE6,3258,33,1,2,3258,2024,1493,4,0,0,4,4,1,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,1,368,0,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325804201,PE6,3258,42,1,1,3258,2024,1493,4,1,0,4,4,1,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,1,368,1,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325806001,PE6,3258,60,1,1,3258,2024,1493,3,1,0,3,3,1,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,1,368,1,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325806401,PE6,3258,64,1,2,3258,2024,1493,8,2,0,6,8,3,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,3,368,2,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325809301,PE6,3258,93,1,1,3258,2024,1493,7,1,0,7,7,2,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,2,368,1,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325810301,PE6,3258,103,1,1,3258,2024,1493,4,1,0,3,4,1,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,1,368,1,1,0,1,010202,8,114633,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325811601,PE6,3258,116,1,2,3258,2024,1493,4,2,0,4,4,0,1,1,0,3258,1,1,1,2,0, ,0, ,0, ,0,368,2,1,0,1,010202,8,770510,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325812401,PE6,3258,124,1,0,3258,2024,1493,0,0,0,0,0,0,6,2,0,3258,1,1,1,2,0, ,0, ,0, ,0,368,0,1,0,1,010202,8,0,0033,EL MUYO (C.P.L.),-5.4205175,-78.4553342,06555
2024,      325901901,PE6,3259,19,1,2,3259,2024,1494,5,2,0,5,5,1,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,1,435,2,1,0,1,010201,7,92727,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325902701,PE6,3259,27,1,2,3259,2024,1494,2,1,0,2,2,0,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,0,435,1,1,0,1,010201,7,623267,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325903201,PE6,3259,32,1,2,3259,2024,1494,4,1,0,4,4,1,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,1,435,1,1,0,1,010201,7,92727,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325904501,PE6,3259,45,1,3,3259,2024,1494,4,1,0,4,3,1,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,1,435,1,1,0,1,010201,7,92727,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325907401,PE6,3259,74,1,3,3259,2024,1494,4,1,0,4,4,1,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,1,435,1,1,0,1,010201,7,92727,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325908501,PE6,3259,85,1,2,3259,2024,1494,5,2,0,5,5,1,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,1,435,2,1,0,1,010201,7,92727,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325909001,PE6,3259,90,1,0,3259,2024,1494,0,0,0,0,0,0,3,4,0,3259,1,1,1,2,0, ,0, ,0, ,0,435,0,1,0,1,010201,7,0,0001,BAGUA,-5.6321149,-78.533486,06597
2024,      325909101,PE6,3259,91,1,1,3259,2024,1494,3,1,0,3,3,1,1,1,0,3259,1,1,1,2,0, ,0, ,0, ,1,435,1,1,0,1,010201,7,92727,0001,BAGUA,-5.6321149,-78.533486,06597
