iter	Passed	Remaining
0	50	50114
1	83	41737
2	104	34657
3	111	27730
4	118	23631
5	126	20883
6	131	18713
7	138	17205
8	145	16016
9	151	15008
10	159	14368
11	166	13712
12	174	13242
13	180	12715
14	186	12268
15	193	11907
16	199	11552
17	206	11256
18	214	11062
19	221	10849
20	228	10672
21	235	10478
22	242	10279
23	247	10081
24	255	9947
25	262	9835
26	275	9933
27	281	9777
28	288	9644
29	294	9528
30	301	9426
31	309	9352
32	317	9312
33	326	9286
34	336	9289
35	346	9290
36	364	9489
37	376	9530
38	386	9514
39	394	9462
40	402	9422
41	411	9387
42	420	9348
43	429	9329
44	437	9293
45	445	9230
46	454	9224
47	462	9177
48	471	9159
49	480	9131
50	490	9122
51	498	9087
52	506	9052
53	515	9024
54	524	9012
55	534	9015
56	542	8972
57	552	8966
58	559	8925
59	568	8905
60	575	8851
61	582	8818
62	590	8784
63	597	8744
64	605	8714
65	612	8673
66	621	8657
67	629	8623
68	636	8594
69	643	8552
70	653	8549
71	660	8511
72	669	8501
73	676	8464
74	684	8444
75	691	8409
76	699	8384
77	707	8360
78	715	8341
79	724	8333
80	733	8318
81	741	8295
82	750	8293
83	758	8268
84	768	8270
85	775	8241
86	784	8234
87	792	8208
88	800	8194
89	809	8181
90	820	8194
91	829	8185
92	839	8183
93	850	8192
94	857	8166
95	867	8171
96	877	8165
97	886	8158
98	895	8146
99	904	8143
100	914	8137
101	923	8126
102	932	8118
103	941	8110
104	950	8103
105	959	8091
106	969	8088
107	977	8072
108	987	8070
109	998	8079
110	1007	8071
111	1017	8067
112	1026	8056
113	1033	8033
114	1040	8010
115	1050	8008
116	1059	7992
117	1066	7975
118	1074	7954
119	1083	7945
120	1090	7925
121	1099	7910
122	1107	7894
123	1115	7881
124	1125	7876
125	1133	7863
126	1144	7865
127	1153	7857
128	1163	7858
129	1175	7866
130	1185	7864
131	1196	7869
132	1206	7867
133	1219	7879
134	1227	7866
135	1234	7844
136	1244	7836
137	1252	7820
138	1260	7807
139	1267	7788
140	1276	7776
141	1284	7764
142	1293	7751
143	1301	7733
144	1310	7726
145	1320	7722
146	1327	7704
147	1334	7684
148	1344	7678
149	1351	7658
150	1359	7644
151	1366	7625
152	1375	7613
153	1385	7612
154	1396	7610
155	1404	7600
156	1413	7587
157	1423	7585
158	1432	7575
159	1443	7576
160	1452	7570
161	1462	7567
162	1471	7556
